timestamp,station_id,location,energy_kwh,temperature,humidity,rain_mm,traffic_volume,hour,day_of_week,is_weekend,month,quarter,day_of_year,week_of_year,season,part_of_day,rain_flag,temp_diff,traffic_level,traffic_norm,energy_kwh_lag1,energy_kwh_roll3
2025-05-01 00:00:00,STN101,Chennai,29.85,30.9,79,0.0,697,0,Thursday,False,5,2,121,18,Summer,Night,0,0.0,High,1.0264798986418862,0.0,29.85
2025-05-01 01:00:00,STN101,Chennai,17.46,34.6,80,3.7,362,1,Thursday,False,5,2,121,18,Summer,Night,1,3.700000000000003,Low,-1.3168403937547766,29.85,23.655
2025-05-01 02:00:00,STN101,Chennai,16.77,29.1,88,0.0,582,2,Thursday,False,5,2,121,18,Summer,Night,0,-5.5,Medium,0.2220565146848228,17.46,21.36
2025-05-01 03:00:00,STN101,Chennai,19.58,30.5,75,0.0,317,3,Thursday,False,5,2,121,18,Summer,Night,0,1.3999999999999986,Low,-1.6316147613901493,16.77,17.936666666666667
2025-05-01 04:00:00,STN101,Chennai,16.57,35.2,69,0.0,394,4,Thursday,False,5,2,121,18,Summer,Night,0,4.700000000000003,Low,-1.0930008434362894,19.58,17.64
2025-05-01 05:00:00,STN101,Chennai,21.18,28.1,66,1.3,694,5,Thursday,False,5,2,121,18,Summer,Morning,1,-7.100000000000001,High,1.005494940799528,16.57,19.11
2025-05-01 06:00:00,STN101,Chennai,18.07,33.4,84,0.0,557,6,Thursday,False,5,2,121,18,Summer,Morning,0,5.299999999999997,Medium,0.047181865998504685,21.18,18.60666666666667
2025-05-01 07:00:00,STN101,Chennai,14.21,30.7,61,0.0,669,7,Thursday,False,5,2,121,18,Summer,Morning,0,-2.6999999999999993,High,0.8306202921132099,18.07,17.819999999999997
2025-05-01 08:00:00,STN101,Chennai,18.26,34.2,67,2.8,489,8,Thursday,False,5,2,121,18,Summer,Morning,1,3.5000000000000036,Medium,-0.4284771784282806,14.21,16.846666666666668
2025-05-01 09:00:00,STN101,Chennai,22.89,32.9,71,0.0,608,9,Thursday,False,5,2,121,18,Summer,Morning,0,-1.3000000000000043,High,0.40392614931859366,18.26,18.453333333333333
2025-05-01 10:00:00,STN101,Chennai,12.69,35.1,86,0.0,564,10,Thursday,False,5,2,121,18,Summer,Morning,0,2.200000000000003,Medium,0.09614676763067376,22.89,17.94666666666667
2025-05-01 11:00:00,STN101,Chennai,23.97,24.6,80,0.0,526,11,Thursday,False,5,2,121,18,Summer,Morning,0,-10.5,Medium,-0.16966269837252979,12.69,19.849999999999998
2025-05-01 12:00:00,STN101,Chennai,21.06,26.1,63,0.0,413,12,Thursday,False,5,2,121,18,Summer,Afternoon,0,1.5,Medium,-0.9600961104346877,23.97,19.24
2025-05-01 13:00:00,STN101,Chennai,11.03,28.0,64,3.7,643,13,Thursday,False,5,2,121,18,Summer,Afternoon,1,1.8999999999999986,High,0.648750657479439,21.06,18.686666666666664
2025-05-01 14:00:00,STN101,Chennai,10.6,27.2,66,0.0,610,14,Thursday,False,5,2,121,18,Summer,Afternoon,0,-0.8000000000000007,High,0.4179161212134991,11.03,14.229999999999999
2025-05-01 15:00:00,STN101,Chennai,23.11,25.1,79,0.0,363,15,Thursday,False,5,2,121,18,Summer,Afternoon,0,-2.099999999999998,Low,-1.3098454078073238,10.6,14.913333333333332
2025-05-01 16:00:00,STN101,Chennai,19.28,25.3,69,4.1,370,16,Thursday,False,5,2,121,18,Summer,Afternoon,1,0.1999999999999993,Low,-1.260880506175155,23.11,17.66333333333333
2025-05-01 17:00:00,STN101,Chennai,15.87,32.1,81,0.0,616,17,Thursday,False,5,2,121,18,Summer,Evening,0,6.800000000000001,High,0.45988603689821544,19.28,19.42
2025-05-01 18:00:00,STN101,Chennai,18.24,36.1,77,0.0,748,18,Thursday,False,5,2,121,18,Summer,Evening,0,4.0,High,1.383224181961975,15.87,17.796666666666667
2025-05-01 19:00:00,STN101,Chennai,15.45,25.9,72,0.0,611,19,Thursday,False,5,2,121,18,Summer,Evening,0,-10.200000000000003,High,0.4249111071609518,18.24,16.52
2025-05-01 20:00:00,STN101,Chennai,14.9,29.0,87,0.0,362,20,Thursday,False,5,2,121,18,Summer,Evening,0,3.1000000000000014,Low,-1.3168403937547766,15.45,16.196666666666665
2025-05-01 21:00:00,STN101,Chennai,22.7,31.2,86,0.0,761,21,Thursday,False,5,2,121,18,Summer,Night,0,2.1999999999999993,High,1.4741589992788606,14.9,17.683333333333334
2025-05-01 22:00:00,STN101,Chennai,13.99,29.7,86,0.0,385,22,Thursday,False,5,2,121,18,Summer,Night,0,-1.5,Low,-1.1559557169633639,22.7,17.196666666666665
