ds,yhat,yhat_lower,yhat_upper
2025-05-24 05:00:00,54.1491894184065,45.68419380154717,62.062592930634125
2025-05-24 06:00:00,54.218177140200595,46.146413315746216,62.49856809152283
2025-05-24 07:00:00,64.2497587588966,55.946251405425784,72.60290949913956
2025-05-24 08:00:00,62.94631462901486,54.96558956108788,70.61116920856827
2025-05-24 09:00:00,58.30440572198676,49.1541658060212,66.41546299228538
2025-05-24 10:00:00,61.40494429471053,53.60890345897858,68.9757021170301
2025-05-24 11:00:00,51.950885522538684,44.13557881201794,60.545773102663865
2025-05-24 12:00:00,46.446056693994834,38.30225952076413,53.75763636025301
2025-05-24 13:00:00,61.06020403501892,52.56321076145301,69.04125171268349
2025-05-24 14:00:00,50.18664557728701,42.16031744993143,58.28212687301556
2025-05-24 15:00:00,51.4779445685422,43.655875637426306,59.85100930527736
2025-05-24 16:00:00,54.32378445605816,46.43023051465372,62.7190965131025
2025-05-24 17:00:00,48.365569123616616,40.319273555490604,56.662819449349584
2025-05-24 18:00:00,48.47297741167818,40.4927820355868,56.522742113650686
2025-05-24 19:00:00,60.14897747775621,52.16330439134215,68.03762438812208
2025-05-24 20:00:00,54.90854250431749,46.81404667938079,63.34459661119853
2025-05-24 21:00:00,63.90504755232929,55.956874927763714,72.16612584925109
2025-05-24 22:00:00,56.15194711606715,48.09530531775805,64.14370952358394
2025-05-24 23:00:00,59.67336237133036,51.078590789091805,67.41588549868744
2025-05-25 00:00:00,48.864456585897535,40.49323208650239,57.30235027710036
2025-05-25 01:00:00,53.486784723702826,45.811025794609044,61.9772384904498
2025-05-25 02:00:00,56.364727841380244,47.538955149286885,64.59044569010945
2025-05-25 03:00:00,48.241220911103,40.67399099687197,56.593684875014354
2025-05-25 04:00:00,66.98551757251973,58.950358352076904,74.41141462583184
2025-05-25 05:00:00,51.82610836077224,44.3862135810097,59.8495902524873
2025-05-25 06:00:00,70.48473011904362,62.593855024013905,78.47777331690047
2025-05-25 07:00:00,58.22885284178162,50.07167022878256,66.18459961123678
2025-05-25 08:00:00,64.16801669232626,56.241153314425375,72.2797552788811
2025-05-25 09:00:00,53.83298433837519,46.28554460945084,62.0788516914973
2025-05-25 10:00:00,55.936821947674424,47.81471435175488,64.18054874909531
2025-05-25 11:00:00,59.8376081443914,51.7186932497531,67.62602035741646
2025-05-25 12:00:00,57.40520904588448,49.459830006834125,65.7690409009383
2025-05-25 13:00:00,68.56806962561458,60.41942270651629,76.21893766901452
2025-05-25 14:00:00,57.10364955433465,48.76074851613603,65.18975847215485
2025-05-25 15:00:00,63.067098490430475,54.79635694997945,70.99924835450166
2025-05-25 16:00:00,66.9162535919561,59.016559091913074,75.02686311449553
2025-05-25 17:00:00,62.00188703564774,54.26823972505169,70.57820666729303
2025-05-25 18:00:00,71.583430029325,63.53236048885649,79.32228616492321
2025-05-25 19:00:00,68.3864980427179,59.882948311823895,75.99175101684303
2025-05-25 20:00:00,56.23914287297934,48.4935771213292,64.32434881356868
2025-05-25 21:00:00,62.76424764125978,54.642586448621955,71.41644841765226
2025-05-25 22:00:00,63.46675837001406,55.15151301030256,71.13274150930567
2025-05-25 23:00:00,61.52802434487368,53.495526212388015,70.04092713381705
2025-05-26 00:00:00,68.72404940909496,60.06531150982316,76.67893424611934
2025-05-26 01:00:00,56.341171681712396,48.19973216915972,65.04063637609687
2025-05-26 02:00:00,55.37865590197541,46.97726104268143,63.1886996986846
2025-05-26 03:00:00,54.07057488619205,45.71373895614494,62.40208592518333
2025-05-26 04:00:00,58.040895203202865,50.18190297535538,65.95956416015457
2025-05-26 05:00:00,56.45523556625124,48.366598050714266,64.55596447226188
2025-05-26 06:00:00,61.69677161734261,53.790592821363255,69.85225339447548
2025-05-26 07:00:00,59.92641784838973,51.78311260498672,67.05377644171122
2025-05-26 08:00:00,62.95084917995578,54.76115069682507,71.14373714561759
2025-05-26 09:00:00,64.87802228880956,57.188034490260776,73.07691179145223
2025-05-26 10:00:00,69.4495944810977,61.82942825651416,77.36265681150574
2025-05-26 11:00:00,57.02191161012975,48.671904547702844,64.79463420403077
2025-05-26 12:00:00,67.3698467406827,59.29162261698853,75.43283461645834
2025-05-26 13:00:00,51.431188650771425,43.52283892711325,59.6757187759586
2025-05-26 14:00:00,58.6042223729542,50.49231850396108,66.35499430838392
2025-05-26 15:00:00,58.097892232566004,50.880962148849704,66.27089434973301
2025-05-26 16:00:00,55.0742638536358,46.66046057541854,63.17885921870459
2025-05-26 17:00:00,60.97670229764844,52.31985656428305,68.8058223697262
2025-05-26 18:00:00,55.468768945255825,46.816423250816825,63.18615098770921
2025-05-26 19:00:00,53.96721237997281,45.55275184973681,61.661559160838245
2025-05-26 20:00:00,61.87916403640487,53.694461588027245,69.87787644121842
2025-05-26 21:00:00,64.05817540546595,56.23325042787758,72.14876970438644
2025-05-26 22:00:00,61.4195215077592,53.18177969339759,69.76711469502582
2025-05-26 23:00:00,61.552094116494956,53.40642055741671,70.25525882084017
2025-05-27 00:00:00,56.37074560406811,47.63142101295172,63.978592042677064
2025-05-27 01:00:00,62.71234567638782,54.4424928042423,70.41681682837628
2025-05-27 02:00:00,54.68229682053629,47.076568681765956,63.18380442607147
2025-05-27 03:00:00,62.37291376028689,54.55057339780633,70.46131015637647
2025-05-27 04:00:00,56.51517091267303,48.09084892193057,65.13113039334057
2025-05-27 05:00:00,58.756513357015045,50.22553608405965,66.78661161577124
