ds,yhat,yhat_lower,yhat_upper
2025-05-01 00:00:00,21.60750279283814,15.346432730749276,28.35046885031676
2025-05-01 01:00:00,21.38866301248462,15.46224514509675,27.677376587739072
2025-05-01 02:00:00,20.39517231923031,13.968880029351977,26.972965015232663
2025-05-01 03:00:00,19.370106056733754,13.173965634301492,25.649897410586146
2025-05-01 04:00:00,19.014381423806743,12.54766512976924,25.425212420811643
2025-05-01 05:00:00,19.42485449060871,12.666658976673721,25.917443622083628
2025-05-01 06:00:00,20.104907623130174,14.035569645079109,26.560401578705825
2025-05-01 07:00:00,20.478170141490462,14.147387432446067,26.266525449430077
2025-05-01 08:00:00,20.38443610862276,14.163224509670428,26.894473635102997
2025-05-01 09:00:00,20.109873390874274,13.992131955770787,25.809595773040837
2025-05-01 10:00:00,19.996287544694013,13.32734069412894,26.05999421554386
2025-05-01 11:00:00,20.078493250018063,13.483067641709173,26.264892516768324
2025-05-01 12:00:00,20.1205858480009,14.025252000808907,26.332797161175137
2025-05-01 13:00:00,19.968928033799433,13.934253816624976,25.589322117225326
2025-05-01 14:00:00,19.7966051407417,13.438606740870949,25.654163989221214
2025-05-01 15:00:00,19.939226084324666,13.584235283088033,26.428654235982652
2025-05-01 16:00:00,20.480048334120802,14.355508752315126,26.94687650428119
2025-05-01 17:00:00,21.046014669700476,14.667098164234085,27.288679268530238
2025-05-01 18:00:00,21.090457277276336,15.082374202531339,27.736299180186588
2025-05-01 19:00:00,20.43391762618391,14.107875864184638,27.1352085469968
2025-05-01 20:00:00,19.526416693841664,12.708639068686981,25.634939959382226
2025-05-01 21:00:00,19.120209624138617,12.8850897116431,25.22508578211135
2025-05-01 22:00:00,19.607175146355925,13.25512109106164,25.41269355157761
2025-05-01 23:00:00,20.62907054357708,14.40430153227418,26.909742730161717
2025-05-02 00:00:00,21.34717538079496,14.671630787627695,27.689763866274284
2025-05-02 01:00:00,21.152217970396116,15.021076643755645,27.50133425915079
2025-05-02 02:00:00,20.179986381786357,13.947319865716272,26.645188455723748
2025-05-02 03:00:00,19.173371998101953,12.823344621874172,25.19444493658603
2025-05-02 04:00:00,18.833152877666024,12.64827997154308,24.75408427448613
2025-05-02 05:00:00,19.256091748730682,12.97291623270634,25.358161473880145
2025-05-02 06:00:00,19.945523816708995,13.99270997696341,26.11331946177094
2025-05-02 07:00:00,20.325077207993985,14.243470697123035,26.81345139765205
2025-05-02 08:00:00,20.234589955297483,14.348181453041626,26.90587060231304
2025-05-02 09:00:00,19.960317680543874,13.60506413764219,26.064357683826184
2025-05-02 10:00:00,19.844195551662548,13.688687971750612,26.75949377366455
2025-05-02 11:00:00,19.921207263200788,13.741971026401133,26.009941749563293
2025-05-02 12:00:00,19.95565363345887,13.38399254229339,25.787596530188914
2025-05-02 13:00:00,19.794135911020994,13.822764132712829,26.069864295138746
2025-05-02 14:00:00,19.610007273651725,13.032827371983307,25.68027891434686
2025-05-02 15:00:00,19.73916964027972,13.70362409821436,26.351487136680305
2025-05-02 16:00:00,20.26519422010789,13.61851635422362,26.97456294462986
2025-05-02 17:00:00,20.81535361489835,14.840338624395073,27.150228842656734
2025-05-02 18:00:00,20.843321093097245,14.874299664277657,26.98893245931104
2025-05-02 19:00:00,20.16998553929694,14.198085803827896,26.56298979109671
2025-05-02 20:00:00,19.245716713558572,13.409956220099689,25.379761379631976
